Basho,Overall,Ajigawa-205,Arashio-303,Asahiyama-204,Asakayama-203,Dewanoumi-28,Fujishima-3,Futagoyama-4,Hakkaku-402,Hanaregoma-110,Ikazuchi-5,Isegahama-200,Isenoumi-305,Kasugano-2,Kataonami-109,Kise-6,Kokonoe-403,Michinoku-302,Minato-111,Miyagino-210,Musashigawa-9,Naruto-113,Nishiiwa-114,Nishikido-405,Nishonoseki-100,Oitekaze-307,Onoe-10,Onomatsu-116,Oshima-201,Oshiogawa-117,Otake-115,Sadogatake-112,Sakaigawa-11,Shibatayama-108,Shikihide-12,Shikoroyama-119,Tagonoura-101,Takadagawa-120,Takasago-400,Takekuma-13,Tamanoi-14,Tatsunami-1,Tokitsukaze-300,Tokiwayama-107,Yamahibiki-8,Araiso-121,Asahiyama-208,Azumazeki-407,Futagoyama-102,Futagoyama-517,Hanakago-531,Hanakago-103,Hanakago-122,Hanaregoma-106,Hatachiyama-16,Isegahama-206,Izutsu-301,Kabutoyama-310,Kagamiyama-312,Kasugayama-537,Kasugayama-224,Kasugayama-231,Kiriyama-207,Kise-223,Kokonoe-404,Kumagatani-209,Kumagatani-213,Magaki-220,Magaki-124,Michinoku-320,Mihogaseki-7,Minatogawa-535,Minatogawa-126,Minezaki-123,Miyagino-533,Nakagawa-217,Nakagawa-309,Nakamura-128,Nakamura-406,Nishikijima-306,Nishonoseki-105,Oguruma-118,Oitekaze-221,Onaruto-218,Onaruto-215,Onogawa-19,Onogawa-20,Oshima-214,Oshiogawa-125,Oyama-411,Sadogatake-414,Sanoyama-410,Tagonoura-15,Takanohana-104,Takasago-401,Takashima-216,Takashima-212,Takekuma-229,Takekuma-211,Tamanoi-525,Tanigawa-219,Tatsutagawa-311,Tomozuna-501,Urakaze-230,Wakafuji-228,Yamawake-26
1986-01,793-64,,,,,34-3,21-0,,,,,13-0,15-1,48-7,15-1,,29-4,6-0,13-0,16-2,,,,,,,,,12-1,,25-5,48-2,,,,,,18-2,10-0,,,13-1,35-3,,12-0-Kitanoumi-Y Kitanoumi,,17-1,,21-5,,,,,47-3,,30-1,31-5,,16-3,,16-0,,,11-0,,,11-1,,21-0,,22-2,,,,,,,,,,13-3,,,,17-1,,,25-1,35-3,5-0,,,,27-0,39-3,,,,,,,5-0,,,,
1986-03,882-63,,,,,35-4,24-0,,,,,13-0,18-1,52-7,15-1,,30-4,6-0,16-0,19-2,,,,,,,,,13-1,,31-5,53-2,,,,,,20-1,11-0,,,17-1,40-2,,21-0,,20-0,8-0-Azumazeki-S Takamiyama,23-4,,,,,48-4,,31-1,31-5,,16-3,,16-0,,,12-0,,,9-1,,27-0,,27-2,,,,,,,,,,15-2,,,,17-1,,,27-1,39-4,4-0,,,,27-0,41-4,,,,,,,5-0,,,,
1986-05,879-63,,,,,35-3,24-0,,,,,13-0,18-1,52-7,15-1,,30-4,6-0,15-0,20-2,,,,,,,,,14-1,,29-4,52-2,,,,,,20-1,10-0,,,17-2,40-2,,22-0,,20-0,9-0,23-4,,,,,47-4,,31-1,29-5,,16-3,,16-0,,,12-0,,,9-1,,26-0,,27-2,,,,,,,,,,15-3,,,,17-1,,,28-1,39-5,4-0,,,,27-0,42-3,,,,,,,5-0,,,,
1986-07,855-63,,,,,36-4,23-0,,,,,13-0,18-1,52-7,15-1,,28-4,6-0,14-0,20-2,,,,,,,,,13-1,,28-4,47-2,,,,,,19-1,10-0,,,18-1,40-2,,23-0,,19-0,12-0,23-5,,,,,46-4,,26-1,28-5,,16-3,,16-0,,,12-0,,,9-1,,24-0,,26-2,,,,,,,,5-0-Nakamura-S Fujizakura,,15-3,,,,17-1,,,28-1,36-4,,,,,26-0,43-3,,,,,,,4-0,,,,
1986-09,849-64,,,,,34-4,23-0,,,,,13-0,17-1,52-8,15-1,,28-4,6-0,14-0,20-2,,,,,,,,,13-1,,29-3,42-2,,,,,,20-1,10-0,,,18-1,38-2,,23-0,,19-0,14-0,24-5,,,,,45-4,,27-1,28-5,,16-3,,16-0,,,12-0,,,9-1,,24-0,,26-2,,,,,,,,6-0,,15-3,,,,18-1,,,28-1,36-5,,,,,25-0,41-3,,,,,,,4-0,,,,
1986-11,802-64,,,,,34-4,20-0,,,,,13-0,17-1,49-8,11-1,,28-4,6-1,14-0,19-2,,,,,,,,,12-1,,26-2,38-3,,,,,,20-1,9-0,,,17-1,37-2,,22-0,,19-1,13-0,23-5,,,,,41-3,,25-1,28-5,,14-2,,14-0,,,12-0,,,9-1,,24-0,,26-2,,,,,,,,5-0,,15-3,,,,16-1,,,28-1,32-5,,,,,22-0,39-3,,,,,,,4-0,,,,
1987-01,786-64,,,,,34-4,21-0,,,,,13-0,17-2,48-8,11-1,,27-4,6-1,12-0,19-2,,,,,,,,,12-1,,26-2,35-2,,,,,,20-1,9-0,,,17-1,36-2,,21-0,,19-1,13-0,23-5,,,,,38-2,,25-1,27-5,,14-3,,13-0,,,12-0,,,9-1,,23-0,,24-2,,,,,,,,6-0,,15-3,,,,16-1,,,27-1,32-5,,,,,22-0,38-3,,,,,,,5-0,,,,
1987-03,867-64,,,,,36-4,25-0,,,,,11-0,18-1,47-8,15-1,,30-4,7-1,12-0,19-2,,,,,,,,,14-1,,25-2,50-3,,,,,,24-1,10-0,,,19-1,37-2,,23-0,,18-0,17-0,25-5,,,,,38-3,,24-1,31-5,,14-3,,14-0,,,14-0,,,10-1,,26-0,,26-2,,,,,,,,15-0,,16-2,,,,17-1,,,30-1,35-5,,,,,27-0,41-3,,,,,,,5-1,,,,
1987-05,875-64,,,,,36-4,25-0,,,,,12-0,18-1,46-7,14-1,,30-4,8-1,13-0,20-2,,,,,,,,,13-0,,27-3,45-3,,,,,,23-1,9-0,,,18-1,37-2,,25-0,,18-0,19-0,25-5,,,,,38-3,,25-1,31-5,,14-3,,15-0,,,14-0,,,10-1,,25-0,,26-2,,,,,,,,15-0,,16-2,8-0-Oguruma-O Kotokaze,,,17-2,,,30-1,35-4,,,,,28-0,40-4,,,,,,,5-1,,,,
1987-07,844-64,,,,,33-4,23-0,,,,,12-0,18-1,43-6,13-1,,29-4,8-1,13-0,20-1,,,,,,,,,13-0,,26-3,46-3,,,,,,23-1,8-0,,,17-1,36-2,,25-0,,17-1,20-0,24-5,,,,,37-3,,22-1,32-5,,13-3,,15-0,,,12-0,,,9-1,,25-0,,25-2,,,,,,,,13-0,,16-2,9-0,,,15-2,,,29-1,33-4,,,,,27-1,38-4,,,,,,,5-1,,,,
1987-09,832-63,,,,,32-4,23-0,,,,,12-0,17-1,43-6,12-1,,28-4,8-1,13-0,20-1,,,,,,,,,14-0,,24-3,44-3,,,,,,23-1,8-0,,,17-1,35-2,,27-0,,17-1,19-0,23-4,,,,,37-3,,22-1,33-5,,13-3,,14-0,,,11-0,,,9-1,,25-0,,23-2,,,,,,,,13-0,,16-3,11-0,,,15-2,,,29-1,31-3,,,,,27-2,38-4,,,,,,,5-0,,,,
1987-11,813-64,,,,,32-5,22-0,,,,,11-0,17-1,42-5,12-1-S Tamanofuji,,27-4,8-1,13-0,17-1,,,,,,,,,13-0,,23-2,43-3,,,,,,21-1,8-0,,,17-2,34-2,,26-0,,17-1,18-0,23-4,,,,,37-4,,21-2,33-5,,13-2,,14-0,,,11-0,,,9-1,,25-0,,23-2,,,,,,,,13-0,,16-3,11-0,,,15-2,,,29-1,29-3,,,,,28-2,36-4,,,,,,,5-0,,,,
1988-01,800-64,,,,,33-4,22-0,,,,,9-0,17-1,41-5,12-1,,27-4,7-1,10-0,17-1,,,,,,,,,13-0,,23-2,43-3,,,,,,21-1,9-0,,,16-2,29-1,,27-0,,16-1,18-0,23-4,,,,,37-4,,20-2,31-5,,12-2,,14-1,,,11-0,,,9-1,,27-0,,23-2,,,,,,,,12-0,,16-3,13-0,,,15-2,,,28-1,29-4,,,,,28-2,36-4,,,,,,,5-0,,,,
1988-03,852-64,,,,,31-3,23-0,,,,,9-0,17-1,43-5,12-1,,32-4,8-1,12-0,16-1,,,,,,,,,14-0,,23-3,52-4,,,,,,22-2,11-0,,,16-0,27-1,,32-0,,15-0,19-0,30-4,,,,,42-4,,18-2,34-5,,13-2,,15-1,,,11-0,,,8-1,,30-0,,22-2,,,,,,,,17-0,,16-4,15-0,,,15-2,,,30-1,31-4,,,,,31-2,34-4,,,,,,,5-0-S Aonosato,,,,
1988-05,865-64,,,,,31-4,23-0,,,,,8-0,19-1,43-5,13-1,,35-4,10-1,12-0,15-0,,,,,,,,,13-0,,23-3,56-3,,,,,,23-2,13-0,,,15-0,28-1,,33-0,,14-1,18-0,31-4,,,,,43-5,,18-1,30-5,,15-2,,15-1,,,11-0,,,8-1,,31-0,,22-2,,,,,,,,18-0,,16-4,17-0,,,16-2,,,30-1,28-4,,,,,33-2,33-4,,,,,,,4-0,,,,
1988-07,843-64,,,,,31-4,23-0,,,,,8-0,18-1,41-4,13-1,,34-4,10-1,12-0,15-0,,,,,,,,,13-1,,22-3,55-3,,,,,,23-2,13-0,,,13-0,26-1,,32-0,,14-1,18-0,31-4,,,,,39-5,,18-1,30-5,,13-2,,15-1,,,11-0,,,8-1,,30-0,,21-2,,,,,,,,18-0,,16-3,19-0,,,16-2,,,29-2,27-4,,,,,31-2,31-4,,,,,,,5-0,,,,
1988-09,822-64,,,,,30-3,23-0,,,,,8-0,17-1,41-3,16-1,,33-4,9-1,11-0,14-0,,,,,,,,,13-1,,21-4,53-4,,,,,,24-2,12-0,,,13-0,25-1,,30-0,,14-1,18-0,30-4,,,,,36-4,,18-1,30-6,,13-2,,14-1,,,11-0,,,8-1,,31-0,,21-2,,,,,,,,18-0,,16-3,19-0,,,15-2,,,27-2,26-4,,,,,28-2,31-4,,,,,,,4-0,,,,
1988-11,795-64,,,,,29-3,23-0,,,,,8-0,17-1,42-3,16-1,,30-4,9-1,10-0,14-0,,,,,,,,,12-1,,21-3,52-4,,,,,,23-2,12-0,,,13-0,25-1,,30-0,,13-1,18-0,26-4,,,,,33-5,,18-1,30-6,,12-2,,14-1,,,12-0,,,8-1,,30-0,,21-2,,,,,,,,17-0,,15-2,16-0,,,11-2,,,27-3,26-4,,,,,28-2,29-4-K Fujinishiki,,,,,,,4-0,,,,
1989-01,780-64,,,,,30-3,23-0,,,,,8-0,16-1,40-3,13-1,,27-4,9-1,10-0,14-0,,,,,,,,,12-1,,21-3,49-4,,,,,,25-2,13-0,,,14-0,26-1,,31-0,,13-1,17-0,24-4,,,,,30-4,,17-1,30-6,,10-2,,14-1,,,11-0,,,8-1,,29-0,,20-2,,,3-0-Minezaki-M2 Misugiiso,,,,,18-0,,15-2,16-0,,,11-2,,,24-4,27-4,,,,,27-2,28-3,,,,,,,6-1,,,,
1989-03,850-64,,,,,34-3,25-0,,,,,8-0,17-1,42-3,13-1,,32-4,8-1,12-0,15-0,,,,,,,,,12-1,,23-4,53-4,,,,,7-0-Naruto-Y Takanosato,27-2,14-0,,,15-0,31-1,,35-0,,15-1,20-0,21-3,,,,,32-5,,17-1,34-6,,12-2,,13-1,,,11-0,,,8-1,,33-0,,22-2,,,3-0,,,,,16-0,,15-2,16-0,,,13-2,,,24-4,29-4,,,,,30-2,32-3,,,,,,,10-0,,,,
1989-05,836-64,,,,,34-2,24-0,,,,,8-0,17-1,40-3,13-1,,32-4,8-1,11-0,14-0,,,,,,,,,13-1,,21-4,53-4,,,,,8-0,27-3,11-0,,,15-0,33-1,,33-0,,15-1,18-0,20-3,,,,,32-5,,16-1,33-6,1-0-Kabutoyama-M1 Daiyu,11-2,,13-1,,,11-0,,,8-1,,32-0,,22-2,,,3-0,,,,,14-0,,15-2,17-0,,,13-2,,,24-4,29-4,,,,,31-3,32-2,,,,,,,11-0,,,,
1989-07,820-64,,,,,33-4,24-0,,,,,8-0,16-1,36-3,14-1,,31-4,8-1,11-0,13-0-M13 Chikubayama,,,,,,,,,13-1-S Kaiki,,19-4,52-5,,,,,8-0,26-3,11-0,,,15-0,33-1,,33-0,,15-0,17-0,20-3,,,,,32-5,,14-1,33-6,1-0,11-2,,13-1,,,11-0,,,8-1,,32-0,,22-2,,,3-0,,,,,14-0,,15-1,17-0,,,13-2,,,23-4,28-4,,,,,31-2,32-2,,,,,,,11-0,,,,
1989-09,810-64,,,,,33-4,25-0,,,,,8-0,16-1,34-2,14-2,,30-4,8-1,11-0,13-0,,,,,,,,,13-1,,19-3,51-6,,,,,9-0,26-2,11-0,,,15-0,33-1,,32-0,,15-0,16-0,20-3,,,,,30-4,,14-1,33-6,1-0,11-2,,12-1,,,11-0,,,8-1,,30-0,,22-2,,,3-0,,,,,14-0,,15-1,17-0,,,13-2,,,22-4,28-4,,,,,31-3,32-2,,,,,,,11-1,,,,
1989-11,779-64,,,,,34-4,25-0,,,,,7-0,16-1,32-2,10-1,,30-4,8-1,10-0,13-0,,,,,,,,,13-0,,16-4,50-5,,,,,9-0,26-2,10-0,,,14-0,30-0,,29-0,,15-0,15-0,19-3,,,,,29-4,,11-1,33-6,1-0,11-2,,12-1,,,11-0,,,8-1,,31-0,,21-2,,,3-0,,,,,14-0,,15-1,16-0,,,13-2,,,22-4,26-4,,,,,29-4,31-4,,,,,,,11-1,,,,
1990-01,769-64,,,,,34-5,23-0,,,,,7-0,18-1,32-2,10-2,,30-4,8-1,11-0,12-0,,,,,,,,,14-0,,16-4,48-5,,,,,9-0,26-1,10-0,,,15-0,28-0,,28-0,,15-0,13-0,17-3,,,,,28-4,,11-1,33-6,1-0,11-2,,12-1,,,11-0,,,8-1,,30-0,,21-2,,,3-0,,,,,14-0,,15-1,16-0,,,14-2,,,21-4,27-4,,,,,28-4,30-3,,,,,,,11-1,,,,
1990-03,831-64,,,,,35-5,25-0,,,5-0-Matsugane-O Wakashimazu,,7-0,18-1,31-2-Y Tochinoumi,10-2,,35-4,8-1,12-0,12-0,,,,,,,,,14-0,,15-4,50-5,,,,,14-0,29-0,11-0,,6-0-Tamanoi-S Tochiazuma,18-0,28-0,,30-0,,14-0,15-1,15-3,,,,,27-4,,11-1,36-6,3-0,11-2,,11-1,,,12-0,,,10-1,,35-0,,21-1,,,3-0,,,,,19-0,,15-1,17-0,,,16-2,,,21-4,29-4,,,,,33-5,32-4,,,,,,,12-0,,,,
1990-05,837-64,,,,,35-4,24-0,,,6-0,,7-0,17-1,29-2,11-2,,36-4,8-1,12-0,12-0,,,,,,,,,14-0,,15-4,49-5,,,,,14-0,29-0,11-0-O Asashio IV,,7-0,18-1,27-1,,30-0,,15-0,15-1,15-3,,,,,28-4,,12-1,35-6,3-0,11-2,,10-1,,,12-0,,,10-1,,35-0,,20-1,,,5-0,,,,,19-0,,15-1,18-0,,,17-2,,,23-4,29-4,,,,,35-5,32-3,,,,,,,12-0,,,,
1990-07,800-64,,,,,34-4,24-0,,,6-0,,7-0,15-1,28-2,10-2,,34-4,8-1,11-0,11-0,,,,,,,,,13-0,,13-4,49-7,,,,,11-0,29-0,9-0,,7-0,18-1,27-0,,28-0,,14-0,14-1,15-3,,,,,26-3,,10-1,35-5,2-0,11-2,,9-1,,,11-0,,,10-2,,34-0,,19-1,,,5-0,,,,,20-0,,14-1,17-0,,,16-2,,,22-4,29-4,,,,,31-5,32-3,,,,,,,12-0,,,,
1990-09,787-64,,,,,33-4,24-0,,,6-0,,12-1,15-1,29-2,10-2,,32-4,8-1,11-0,11-0,,,,,,,,,13-0,,13-5,48-7,,,,,11-0,30-0,9-0,,7-0,17-1,27-2,,28-0,,14-0,14-1,15-3,,,,,22-2,,10-1,35-5,2-0,10-2,,,,,11-0,,,10-2,,34-0,,21-1,,,5-0,,,,,20-0,,13-1,17-0,,,15-1,,,21-4,28-3,,,,,31-5,34-3,,,,,,,11-0,,,,
1990-11,768-64,,,,,32-5,24-1,,,6-0,,12-1,15-1,29-2,10-2,,31-4,8-1,11-0,11-0,,,,,,,,,10-0,,13-2,46-7,,,,,10-0,30-0,10-0,,7-0,17-1,27-2,,26-0,,14-0,14-1,15-4,,,,,20-2,,10-1,35-5,2-0,10-2,,,,,10-0,,,10-2,,35-0,,21-0,,,7-0,,,,,19-0,,12-1,17-0,,,14-1,,,21-4,25-3,,,,,32-5,29-4,,,,,,,11-0,,,,
1991-01,754-66,,,,,32-5,22-1,,,6-0,,11-1,15-1,30-3,10-2,,31-4,7-1,10-0,11-0,,,,,,,,,8-0,,12-2,46-7,,,,,10-0,29-0,10-0,,7-0,17-3,27-2,,25-0,,13-0,14-1,15-4,,,,,20-2,,10-1,32-5,2-0,10-2,,,,,10-0,,,10-1,,35-0,,21-0,,,6-0,,,,,19-0,,12-1,19-0,,,14-1,,,21-4,25-3,,,,,32-5,27-4,,,,,,,11-0,,,,
1991-03,813-66,,,,,36-5,23-1,,,12-0,,10-1,16-1,31-2,10-2,,33-4,6-0-M14 Hoshiiwato,10-0,12-0,,,,,,,,,8-0,,14-2,52-7,,,,,14-0,27-2,16-0,,10-0,16-2,34-2,,26-0,,12-0,14-1,16-4,,,,,24-2,,10-1,32-5,4-0,10-2,,,,,10-0,,,9-1,,38-0,,22-0,,,7-0,,,,,20-0,,12-1,20-0,,,15-1,,,24-4,23-3,,,,,32-6,30-4,,,,,,,13-0,,,,
1991-05,816-66,,,,,38-5,23-1,,,13-0,,11-1,16-1,28-2,10-2,,31-4,6-0,11-0,11-0,,,,,,,,,8-0,,13-2,52-7,,,,,14-0,27-1,17-0,,13-0,16-3,35-2,,27-0,,12-0,15-1,16-5,,,,,24-3,,10-1,33-5,4-0,10-2,,,,,10-0,,,7-1,,37-0,,22-0,,,7-0,,,,,20-0,,11-1,20-0,,,15-1,,,24-4,24-2,,,,,32-6,30-3,,,,,,,13-0,,,,
1991-07,795-66,,,,,36-5,23-3,,,13-0,,10-1,16-1,27-2,10-2,,30-3,6-0,12-0,11-0,,,,,,,,,8-1,,14-2,50-7,,,,,14-0,25-2,15-0,,13-0,17-3,35-1,,26-0,,11-0,15-1,15-4,,,,,24-3,,7-1,31-5,4-0,10-1,,,,,10-0,,,7-1,,37-0,,22-0,,,6-0,,,,,19-0,,11-1,19-0,,,15-1,,,21-4,24-2,,,,,33-6,30-3,,,,,,,13-0,,,,
1991-09,791-66,,,,,34-5,22-3,,,13-0,,10-1,16-1,27-2,10-2,,30-3,6-0,12-0,11-1,,,,,,,,,7-1,,14-2,47-6,,,,,16-0,26-2,15-0,,17-0,16-3,35-3,,26-0,,9-0,15-1,15-4,,,,,24-1,,7-1,31-5,4-0,10-1,,,,,10-0,,,7-0,,37-0,,21-0,,,7-0,,,,,19-0,,11-1,19-0,,,15-1,,,21-4,24-3,,,,,32-6,30-3,,,,,,,13-0,,,,
1991-11,766-66,,,,,31-6,23-3,,,13-0,,10-1,15-1,27-2,10-2,,29-3,6-0,12-0,10-0,,,,,,,,,8-1,,13-2,45-6,,,,,15-0,26-3,16-0,,18-0,16-3,35-3,,25-1,,8-0,15-1,14-3,,,,,21-1,,8-1,29-4,4-0,10-1,,,,,10-0,,,8-0,,39-0,,21-1,,,7-0,,,,,19-0,,8-1,19-0,,,8-0,,,19-4,22-3,,,,,32-6,30-3,,,,,,,12-0,,,,
1992-01,767-66,,,,,31-6,24-2,,,13-0,,10-1,15-1,27-2,10-1,,29-3,6-0,12-1,10-0,,,,,,,,,8-2,,13-2,45-6,,,,,15-0,26-3,16-0,,19-0,16-3,33-3,,25-1,,8-0,14-1,15-4,,,,,21-1,,8-1,29-4,4-0,10-1,,,,,10-0,,,8-1,,40-0,,24-0,,,7-0,,,,,19-0,,9-1,17-0,,,8-0,,,19-4,22-3,,,,,31-6,30-2,,,,,,,11-0,,,,
1992-03,893-66,,,,,37-6,31-2,,,22-0,,10-1,16-1,30-3,13-1,,36-3,6-0,12-0,10-0,,,,,,,,,9-2,,15-2,52-6,,,,,23-0,30-3,21-0,,25-0,18-3,35-3,,30-2,,8-0,14-1,20-4,,,,,25-1,,8-1,32-4,4-0,10-1,,,,,12-0,,,8-0,,40-0,,25-0,,,8-0,,,,,25-0,,11-1,22-0,,,9-0,,,24-3,24-4,,,,,39-6,33-2,,,,,,,11-0,,,,
1992-05,904-66,,,,,38-6,30-3,,,23-0,,7-1,16-1,31-3,13-1,,40-3-Y Chiyonofuji,5-0,11-0,11-0,,,,,,,,,9-2,,15-1,52-7,,,4-0-Shikihide-K Oshio,,23-0,30-3,23-0,,26-0,18-3,33-4,,31-0,,7-1,14-1,20-4,,,,,25-1,,7-1,32-3,3-0,10-1,,,,,12-0,,,8-0,,40-0,,25-0,,,8-0,,,,,26-0,,12-1,22-0,,,9-0,,,24-3,26-3,,,,,39-6,35-3,,,,,,,11-0,,,,
1992-07,867-66,,,,,39-6,30-2,,,20-0,,7-1,16-1,29-3,13-1,,35-1,5-0,11-1,11-0,,,,,,,,,9-2,,12-0,49-7,,,5-0,,21-0,30-3,23-0,,26-0,18-3,32-4,,28-0,,6-0,14-1,19-4,,,,,25-1,,7-1,30-4,3-0,9-1,,,,,11-0,,,7-1,,40-1,,24-1,,,7-0,,,,,24-0,,12-1,22-0,,,8-0,,,24-3,24-3,,,,,39-6,33-3,,,,,,,10-0,,,,
1992-09,866-66,,,,,41-6,31-2,,,19-0,,6-1,16-1,30-3,16-1,,36-1,5-1,11-1,11-0,,,,,,,,,9-2,,12-0,47-7,,,5-0,,21-0,30-3,23-0,,26-0,17-3,31-4,,28-0,,7-0,14-1,18-4,,,,,24-1,,6-0,30-3,3-0,10-1,,,,,11-0,,,7-1,,40-1,,22-2,,,7-0,,,,,24-0,,12-1,22-0,,,8-0,,,23-3,25-3,,,,,39-6,33-3,,,,,,,10-0,,,,
1992-11,853-66,,,,,39-6,31-2,,,19-0,,5-1,15-1,33-2,16-1,,37-1,5-1,11-1,10-0,,,,,,,,,9-2,,12-0,44-7,,,5-0,,20-0,29-3,22-0,,26-0,17-4,31-4,,27-0,,6-0,14-1,15-4,,,,4-0-Hanakago-S Daijuyama,23-2,,6-0,28-2,4-0,10-1,,,,,11-0,,,7-1,,37-2,,22-2,,,7-0,,,,,23-0,,11-1,22-0,,,8-0,,,24-3,25-2,,,,,39-6,33-3,,,,,,,11-0,,,,
1993-01,853-66,,,,,37-5,34-3,,,23-0,,4-1,16-1,34-2,16-1,,38-1,6-1,10-1,11-0,,,,,,,,,9-2,,11-0,44-7,,,5-0,,21-0,29-3,23-2,,26-0,17-4,30-3,,27-0,,6-0,15-1,14-4,,,,4-0,22-2,,6-0,28-2,4-0,9-1,,,,,10-0,,,7-1,,35-1,,23-2,,,8-0,,,,,24-0,,11-1,20-0,,,8-0,,,22-3,25-2,,,,,37-6,33-3,,,,,,,11-0,,,,
1993-03,958-66,,,,,38-4,35-3,,,25-0,7-0-Irumagawa-S Tochitsukasa,10-1,19-1,32-2,14-1,,48-1,7-1,11-1,14-0,,,,,,,,,9-2,,14-0,52-7,,,8-0,,28-0,32-3,26-3,,26-0,20-4,35-3,,25-0,,7-0,18-1,,,,,8-0,25-2,,5-0,31-2,4-0,9-1,,,,,10-0,,,7-0,,36-1,,21-3,,,9-0,,,,,30-0,,13-1,20-0,,,8-0,,,23-3,29-2,,,,,58-10-Futagoyama,38-3,,,,,,,14-0,,,,
1993-05,962-66,,,,,37-4,32-3,,,22-0,7-0,10-1-Y Asahifuji,20-1,34-3,14-1,,52-1,7-1,15-1,15-0,,,,,,,,,9-1,,14-1,52-7,,,9-0,,28-0,31-3,28-3,,26-0,20-4,35-3,,25-0,,7-0,18-1,,,,,10-0,25-2,,5-0,30-2,4-0,8-1,,,,,8-0,,,7-0,,35-0,,22-2,,,9-0,,,,,30-0,,12-1,20-0,,,9-0,,,23-3,29-3,,,,,56-10,39-2,,,,,,,14-1,,,,
1993-07,934-66,,,,,38-4,27-3,,,22-0,7-0,9-1,20-1,31-3,14-1,,50-1,7-1,16-1,16-0,,,,,,,,,9-2,,13-0,49-7,,,9-0,,28-1,31-3,26-1,,26-0,20-4,35-3,,23-0,2-0-Araiso-K Futagodake,7-0,18-1,,,,,10-0,24-2,,5-0,31-2,5-0,8-2,,,,,7-0,,,6-0,,34-0,,22-2,,,9-0,,,,,29-0,,9-1,21-0,,,5-0,,,21-3,29-3,,,,,54-10,39-3,,,,,,,13-0,,,,
1993-09,928-66,,,,,36-4,25-3,,,22-0,8-0,11-2,20-1,30-3,14-1,,51-1,8-1,16-1,16-0,,,,,,,,,9-1,,13-0,48-7,,,9-0,,28-0,31-3,26-1,,26-1,20-4,32-3,,23-1,2-0,7-0,18-1,,,,,11-0,24-1,,5-1,31-2,5-0,8-2,,,,,7-0,,,6-0,,34-0,,22-2,,,9-0,,,,,29-0,,9-1,21-0,,,5-0,,,21-3,29-3,,,,,51-10,39-2,,,,,,,13-0,,,,
1993-11,886-66,,,,,37-4,25-3,,4-0-Hakkaku-Y Hokutoumi,20-0,8-0,11-2,20-1,27-3,14-1,,44-1,6-1,16-1,16-0,,,,,,,,,9-1,,10-0,45-7,,,9-0,,27-0,28-2,23-1,,26-1,19-4,30-2,,22-1,3-0,7-0,18-1,,,,,11-0,22-1,,5-1,31-2,5-0,7-2,,,,,7-0,,,5-0,,30-0,,21-2,,,9-0,,,,,26-0,,9-1,21-0,,,5-0,,,18-4,26-3,,,,,52-10,37-2,,3-0-Takashima-S Koboyama,,,,,12-1,,,,
1994-01,902-66,,,,,38-4,28-2,,5-0,20-0,8-1,12-2,20-1,28-2,16-1,,43-1,6-2,16-1,15-0,,,,,,,,,9-1,,10-0,45-7,,,9-0,,28-0,28-3,23-1,,27-1,20-4,32-2,,23-1,3-0,7-0,17-1,,,,,12-0,22-1,,6-0,31-2,5-0,7-2,,,,,8-0,,,5-0,,29-0,,22-2,,,9-0,,,,,26-0,,9-1,22-0,,,5-0,,,18-4,26-3,,,,,52-10,37-2,,3-0,,,,,12-1,,,,
1994-03,987-66,,,,,39-4,30-3,,12-0,23-0,9-0,16-2,21-1,31-1,16-1,,43-1,6-2,13-1,15-0,,,,,,,,,10-1,,13-2,50-7,,,12-0,,31-0,28-3,25-1,,30-1,20-4,34-2,,25-1,2-0,8-1,20-1,,,,,13-0,25-0,,6-0,33-2,6-0,7-1,,,,,10-0,,,5-0,,34-0,,27-2,,,9-0,,,,,30-0,,10-1,25-0,,,5-0,,,24-4,27-3,,,,,55-10,38-2,,4-0,,,,,12-1,,,,
1994-05,972-66,,,,,38-4,30-3,,12-0,21-0,9-0,16-2,21-1,31-2,16-1,,44-1,6-2,12-1,15-0,,,,,,,,,10-1,,13-1,48-7,,,14-0,,31-1,28-3,25-2,,30-0,20-4,33-2,,24-1,2-0,8-0,20-1,,,,,13-0,25-1,,6-0,29-2-S Sakahoko,6-0,7-1,,,,,10-0,,,5-0,,34-0,,26-2,,,9-0,,,,,30-0,,9-1,25-0,,,4-0,,,23-4,27-2,,,,,54-10,37-2,,4-0,,,,,12-1,,,,
1994-07,945-66,,,,,39-4,30-4,,12-0,21-0,9-0,16-1,21-1,30-2,16-1,,41-1,6-1,11-1,15-0,,,,,,,,,10-1,,12-1,45-8,,,14-0,,30-1,26-3,24-2,,31-0,19-4,33-2,,23-1,1-0,8-1,19-1,,,,,13-0,24-0,5-0-Hatachiyama-O Hokutenyu,6-0,28-2,6-0,6-1,,,,,10-0,,,5-0,,33-0,,21-2,,,9-0,,,,,29-0,,9-1,22-0,,,3-0,,,22-4,24-2,,,,,54-10,37-2,,4-0,,,,,13-1,,,,
